title,PC1,PC2,PC3,PC4
สะตอผัดหมูสับน้ำพริกเผา,-153.7848234564969,-104.26412491061751,-39.847586941800394,121.86940189396486
ส้มตำปลาร้า,-198.7349929461229,-112.24767616561235,-39.696834560390045,-77.34253640877331
กระเพราหมูสับ,-198.8049374100453,-85.31677907599408,-39.925700560470084,220.6589540187803
กุ้งทอดกระเทียมพริกไทย,-198.7720906923204,-115.30804911139163,-39.869494502766834,-85.57625765629138
ราดหน้าเจ,241.24799414451167,-102.38033187064411,-39.61724519426956,-73.42740750358351
สุกี้อกไก่,241.2318051940265,-112.4041418210177,-39.62034800420786,-88.31629147102888
ไข่เจียวมาม่า,-198.75501851962963,-120.2519772902524,-39.53996061782522,-79.12810279022955
ราดหน้าเย็นตาโฟ,173.29592609211136,-120.14085588943304,-40.38954520981503,423.14052762490047
มักกะโรนีหน้าชีส,-198.7763712485223,-120.28911077415077,-39.59436597901159,-88.88794691473805
สปาเก็ตตี้ไข่กุ้งเบคอนกรอบ,-198.7686019714179,-98.11485873867287,-39.69789217381457,-79.83764747622101
แองเจิ้ลแฮร์เบคอน,-198.76707404638523,-95.24096703332529,-39.65441808468491,-78.01059898817222
ข้าวผัดโบราณ,-198.8492415511397,-115.40670539606592,-39.97768042180236,110.70583823808413
สุกี้น้ำปลาหมึก,241.24553774388536,-118.21552069942247,-39.537470862781916,-78.53258665594016
ข้าวผัดหมูสามชั้น,-198.8090904049188,-120.35481847025318,-39.99216196723169,112.50208044046272
สปาเก็ตตี้ผัดแกงกะหรี่หอยแครง,1.275018240051397,-69.98175069374471,-39.69142608226169,-82.1780664274548
ผัดผักกาดเเก้ว,-198.74501928000603,-120.24017092958123,-39.65593043451491,-78.02809762567442
กะเพราหมูเด้ง,-198.71725588267952,-95.31788723828252,-39.94114219879109,221.53315686485547
ผัดซีอิ๊ว,-198.75856438807634,-120.27048648730141,-39.68127525924471,2.4580110756836038
ผัดเผ็ดกุ้ง,-198.76873440815038,-120.29866619182577,-39.840511202733936,-87.37746337415825
สปาเก็ตตี้ซอสมะเขือเทศ,-198.7548042657281,-120.29799523972855,-39.85538838083694,121.41220421893513
ยำทูน่า,-198.74316284375976,-114.24171923262001,-39.667691228981965,-78.41426629785357
ข้าวต้มไก่ใส่ข่า,-198.73135689828771,-98.20572524749173,-39.908171278749904,-107.38213984558786
ข้าวหน้าปลาดิบ,-198.76704399866344,-120.2803736646394,-39.692136910561295,-85.92017250018552
สเต็กปลาซาบะ,-198.7523245596537,-120.24646442999025,-39.68183973152784,-81.95539501080671
ผัดผักรวม,-198.7581623797573,-100.24414416162597,-39.66667245852403,-77.66155134277496
มาม่าผัดหอยลาย,-194.69011393451555,-102.47883015994799,-39.670318851808275,-78.6243685833431
เส้นบุกแกงเขียวหวานอกไก่,-198.75562028805868,-116.2668192050854,-39.754305025573025,-89.06900913403072
ผัดกระเพรายอดมะพร้าวอ่อนเจ,-198.7166292885539,-110.25938358487313,-39.72005270017947,-72.5812068955665
ข้าวผัดกระเพาหมู,-198.80919666752496,-105.34857820259987,-39.99471384816413,112.72413577437581
เกี๊ยมอี๋น้ำหมูสับ,-198.66458040478634,-115.25550006371567,-39.706062366289224,-27.521809516848165
ปลาหมึกผัดพริกแกง,-198.7555011394364,-105.24371190208014,-39.66828232288668,-78.17450831016045
ข้าวผัดไข่เผ็ด,-198.76389706632946,-90.26835675987053,-39.52747455635321,-82.1464367801062
แกงเขียวหวาน,-447.9976652009052,300180.2782437751,9.143675267324324,-0.14397505935162377
ข้าวหน้าหมูบาร์บีคิว,-198.74621888094907,-120.37049333542805,-40.1131206337589,419.979286414459
ขนมจีนน้ำเงี๊ยว,2801.1415401300287,83.88724124271384,-39.418962003657775,-77.8798893350022
ก๋วยเตี๋ยวต้มยำหมูสับใส่ไข่,-198.707223850332,-115.30725474273154,-39.73602743996104,121.21671241539484
มันบด,-198.74525564201016,-115.28025429658445,-39.78099678659421,-71.46657178236697
มะกะโรนีกุ้งไส้กรอก,-198.7947041557613,-120.32722330472767,-39.795839730449735,-92.87856866628584
ข้าวผัดแฮมผักรวม,-198.76162193705252,-105.51317777535093,-39.670401266201246,-82.83546444586406
ข้าวผัดกุนเชียง,-198.7511263389446,-120.27468656472608,-39.6723982053532,-82.81181498027495
ดอลลี่บะหมี่ผัก,-198.7988498027979,-114.28846326626964,-39.85672914235208,-101.79673182306527
ไข่เจียว​พระอาทิตย์​,-198.7655022500212,-120.26496551736955,-39.462079926857434,-80.76117602689924
ผัดบวบใส่ไข่,-168.75404433306153,-120.22940399151601,-39.53955483938811,-79.12179417354808
สปาเก็ตตี้ผัดพริกแห้งเบคอนกรอบ,-198.77441681680037,-100.25641918493763,-39.697186255557604,-77.98339224236346
สปาเก็ตตี้ต้มยำกุ้ง,-198.77259341227776,-105.2699725673574,-39.74456518299259,-82.65628167662439
ใบเหลียงผัดไข่,-198.74542379766888,-120.25551024094577,-39.47880953278452,-79.36640500485832
ผัดกะเพราไก่,-198.83340419479512,-20.275496942730697,-39.77719947248493,-92.23986967782406
ข้าวต้มกะหล่ำ,-198.75603005398176,-118.02134210913388,-39.681175781511485,-79.51699652284958
ขนมจีนน้ำยาปลาทูน่า,-198.81299026975856,4.755051882027916,-39.663389512013396,-74.74038707202418
ข้าวไก่ทอด,-198.72336240170642,-119.01491272996482,-39.778787429649185,-93.1258765582008
มักกะโรนีผัดไส้อั่ว,-198.7681427332534,-100.25204189731932,-39.69070442303097,-79.49300325223997
ข้าวหมูผัดน้ำมันหอยไข่ดาว,-198.7826226902444,-118.97536296691877,-39.856807128115385,117.40178924357592
สปาเก็ตตี้คาโบนาร่า,-198.7596935592172,-120.2561788707098,-39.62552160909475,-79.61303536006243
