,ingredient,uniq_unit,ชิ้น,ห่อ,ลูก,หัว,ถุง,กระฉอก,ถาด,ยอด,ต้น,ขา,ซอง,ก้อน,เส้น,อัน,บาท,เม็ด,กระป๋อง,ใบ,ใจ,แผ่น,ก้าน,แพ็ค,แท่ง,ท่อน,ผล,แพค,ตัว,ฝัก,มัด,ดอก,กล่อง,ชุด,กิ่ง,พวง,แว่น,อก,แง่ง,ช่อ,นิ้ว,ราก,หลอด,แพ,หม้อ,ซอย,ซีก,น่อง,โครง,ดวง,ขยุ้ม
20,รากผักชี,"['ราก', ',ราก', '', 'หัว', 'ต้น', 'ชิ้น', 'tea_spoon', 'table_spoon', 'kilogram', 'gram', 'min', 'avg']",10,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
21,หอมแดง|หอมเจียว|หอมเเดง,"['', 'ลูกเล็ก', 'หัวเล็ก', 'หัว', 'หัวใหญ่', 'ลูก', 'ซอยหัว', 'เม็ด', 'บาท', 'tea_spoon', 'spoon', 'table_spoon', 'gram', 'hundred_gram', 'hand', 'pick', 'lobe', 'cup', 'min', 'avg']",0,0,20,20,0,0,0,0,0,0,0,0,0,0,16.94915254,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
22,พริกแห้ง,"['', 'ดอก', 'เม็ด', 'ลูก', 'spoon', 'table_spoon', 'ladle', 'gram', 'hand', 'cup', 'min', 'avg']",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,พริกป่น,"['', 'tea_spoon', 'spoon', 'table_spoon', 'gram', 'cup', 'min', 'avg']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,^(?!.*ราก|ลูก).*ผักชี.*|ผง coriander,"['', 'ใบ', 'ราก', 'ก้าน', 'กิ่ง', 'ต้น', 'ต้ร', 'แพค', 'อย่างละ ต้น', 'ก้่าน', 'มัด', 'หัว', 'บาท', 'tea_spoon', 'spoon', 'table_spoon', 'gram', 'hundred_gram', 'hand', 'pick', 'cup', 'min', 'avg']",0,0,0,8,0,0,0,0,8,0,0,0,0,0,20,0,0,1,0,0,2,0,0,0,0,30,0,0,10,0,0,0,10,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0
25,ซอสมะเขือเทศ|ซ้อสมะเขือเทศ,"['', 'ซอง', 'tea_spoon', 'spoon', 'table_spoon', 'ladle', 'gram', 'bottle', 'cup', 'min', 'avg']",0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,ใบมะกรูด|ใบมะกูด|มะกรูด,"['', 'ใบ', 'กิ่ง', 'ต้น', 'ลูก', 'tea_spoon', 'table_spoon', 'gram', 'hundred_gram', 'pick', 'min', 'avg']",0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,น้ำมันงา,"['', 'tea_spoon', 'spoon', 'table_spoon', 'cup', 'min', 'avg']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,^พริก$|พริกสด|พริกจินดา|พริกแดง|พริกใหญ่|พริกสับ|พริกอ่อน|พริกตำ|พริกซอย|พริกทอด|พริกสีแดง|พริกหั่น|พริกคั่ว|พริก+|พริกหั่นเฉียง,"['', 'เมล็ด', 'กิ่ง', 'ส.', 'พริก', 'ห่อ', 'ซอง', 'แพ็ก', 'ถุง', 'แผ่น', 'อย่างละ  ลูก', 'สีละ  เม็ด', 'พวง', 'ก้าน', 'ต้น', 'อัน', 'ดอด', 'กระปุก', 'ช่อ', 'ลูก', 'กระป๋อง', 'ลูกเล็ก', 'อก', 'พวงเล็ก', 'บด', 'เม็ด เม็ดเล็ก', 'เม็ด', 'บาท', 'ดอก', 'ฝัก', 'หัว', 'ซองเล็ก', 'ท่อนใบตอง', 'ชิ้น', 'เม็ดใหญ่', 'ห่อเล็ก', 'ผล', 'tea_spoon', 'spoon', 'table_spoon', 'ladle', 'kilogram', 'gram', 'milligram', 'bottle', 'hundred_gram', 'hand', 'pick', 'lobe', 'cup', 'dipper', 'min', 'avg', 'buble', 'millitre', 'drops']",2,5,2,2,7,0,0,0,0,0,7,0,0,2,33.33333333,2,40,2,0,2,2,20,0,2,2,0,0,2,0,2,0,0,6,8,0,6,0,5,0,0,0,20,0,0,0,0,0,0,0
29,โหระพา|ใบโหรพา|โหรพา,"['ใบ', '', 'ก้าน', 'กิ่ง', 'ต้น', 'ยอด', 'มัด', 'ช่อ', 'บาท', 'tea_spoon', 'table_spoon', 'gram', 'hundred_gram', 'hand', 'pick', 'cup', 'min', 'avg']",0,0,0,0,0,0,0,2,4,0,0,0,0,0,25,0,0,2,0,0,10,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
30,ถั่วฝักยาว|ถั่วฟักยาว|ถั่วผักยาว|ถัวฝักยาว,"['', 'เส้น', 'อัน', 'ต้น', 'ฝัก', 'table_spoon', 'gram', 'hundred_gram', 'cup', 'min', 'avg', 'buble']",0,0,0,0,0,0,0,0,10,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,ใบกะเพรา|ใบกระเพรา|กระเพรา|กะเพรา|ใบกระเพา|ใบกระ เพรา แดง|กระเพา|Basil,"['', 'ใบ', 'แพ็ค', 'ก้าน', 'กิ่ง', 'บาท', 'ต้น', 'แพค', 'มัด', 'ขยุ้ม', 'tea_spoon', 'table_spoon', 'kilogram', 'gram', 'hundred_gram', 'hand', 'pick', 'cup', 'min', 'avg']",0,0,0,0,0,0,0,0,20,0,0,0,0,0,50,0,0,2,0,0,2,20,0,0,0,20,0,0,20,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,20
32,^(?!.*ไส้กรอก|ไข่|เลือด|น้ำ|ผง|โครง|ตีน|เครื่องใน|เต้าหู้|ซี่โครง|ขา|ซอส|ตับ).*ไก่(?!จ๊อ|ไข่).*|chicken,"['', 'แพ็ค', 'อกใหญ', 'น่อง', 'กล่องนึง', 'อก', 'ชิ้น/ ชิ้น', 'ก้อน', 'ห่อ', 'อัน', 'ดวง', 'ซอง', 'ขิ้น', 'เส้น', 'ตัว', 'ชิ้น', 'ลูก', 'ชิ้นใหญ่', 'ปีก', 'บาท', 'tea_spoon', 'spoon', 'table_spoon', 'kilogram', 'gram', 'hundred_gram', 'lobe', 'cup', 'min', 'avg', 'buble']",30,120,0,0,0,0,0,0,0,0,0,60,50,50,11.11111111,0,0,0,0,0,0,500,0,0,0,0,1200,0,0,0,200,0,0,0,0,120,0,0,0,0,0,150,0,0,0,100,0,0,0
33,^ซีอิ๊วดำ$|^ซีอิ้วดำ$|ซีอิ๋วดำ(?!หวาน)|สี่อิ๋วดำสูตรเค็ม,"['', 'tea_spoon', 'spoon', 'table_spoon', 'gram', 'cup', 'min', 'avg', 'drops']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,ถั่วงอก,"['', 'ถุง', 'เพ็ค', 'ถุงเล็ก', 'บาท', 'spoon', 'kilogram', 'gram', 'hundred_gram', 'hand', 'pick', 'cup', 'avg']",0,0,0,0,100,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,คะน้า,"['', 'ใบ', 'ก้าน', 'ต้น', 'ยอด', 'กัาน', 'มัด', 'kilogram', 'gram', 'hundred_gram', 'hand', 'cup', 'avg']",0,0,0,0,0,0,0,8,30,0,0,0,0,0,0,0,0,6,0,0,20,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,ข้าวโพดอ่อน,"['', 'แพ็ค', 'ท่อน', 'ต้น', 'ผัก', 'แพค', 'แท่ง', 'อัน', 'ฝัก', 'หัว', 'ชิ้น', 'ฝักเล็ก', 'tea_spoon', 'gram', 'cup', 'min', 'avg', 'buble']",20,0,0,20,0,0,0,0,20,0,0,0,0,10,0,0,0,0,0,0,0,100,10,10,0,100,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
37,เนย,"['', 'ก้อน', 'ก้อนเล็ก', 'ชิ้น', 'ใช้ทากะทะ', 'tea_spoon', 'spoon', 'table_spoon', 'gram', 'cup', 'min', 'avg']",10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,แป้งทอดกรอบ|แป้งชุบทอด|แป้งโกกิ|แป้งทอด|แป้งสำหรับทอด|แป้งทอดกรอบคนอร์,"['', 'ชุบไก่', 'ห่อ', 'ซอง', 'ชิ้น', 'ถุง', 'spoon', 'table_spoon', 'ladle', 'gram', 'cup', 'min', 'avg', 'plate']",15,150,0,0,200,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,แป้งมัน,"['', 'tea_spoon', 'spoon', 'table_spoon', 'gram', 'milligram', 'cup', 'min']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,^(?!.*ซอส|ซีอิ๊ว|ผงปรุงรส|ซีอิ้ว|คนอร์).*เห็ด.*,"['', 'ดอก', 'ใบ', 'แพ็ค', 'ดอกใหญ่', 'ดอก ใหญ่', 'ต้น', 'แพค', 'ก้อน', 'ห่อ', 'โคนใหญ่', 'อัน', 'กอด', 'หัว', 'ชิ้น', 'ถุง', 'ห่อเล็ก', 'ลูก', 'กล่อง', 'ดิก', 'กระป๋อง', 'tea_spoon', 'table_spoon', 'kilogram', 'gram', 'hundred_gram', 'hand', 'cup', 'avg', 'plate']",10,200,10,10,150,0,0,0,15,0,0,20,0,10,0,0,150,15,0,0,0,10,0,0,0,200,0,0,0,12,150,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0
